ensgene	entrez	symbol	chr	start	end	strand	biotype	description
ENSG00000121807	729230	CCR2	3	46395225	46402419	1	protein_coding	chemokine (C-C motif) receptor 2 [Source:HGNC Symbol;Acc:1603]
ENSG00000121848	27246	RNF115	1	145611036	145696218	1	protein_coding	ring finger protein 115 [Source:HGNC Symbol;Acc:18154]
ENSG00000121851	84265	POLR3GL	1	145456236	145470388	-1	protein_coding	polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like [Source:HGNC Symbol;Acc:28466]
ENSG00000121853	2693	GHSR	3	172162923	172166246	-1	protein_coding	growth hormone secretagogue receptor [Source:HGNC Symbol;Acc:4267]
ENSG00000121858	8743	TNFSF10	3	172223298	172241297	-1	protein_coding	tumor necrosis factor (ligand) superfamily, member 10 [Source:HGNC Symbol;Acc:11925]
ENSG00000121864	51193	ZNF639	3	179040779	179053323	1	protein_coding	zinc finger protein 639 [Source:HGNC Symbol;Acc:30950]
ENSG00000121871	22865	SLITRK3	3	164904508	164914897	-1	protein_coding	SLIT and NTRK-like family, member 3 [Source:HGNC Symbol;Acc:23501]
ENSG00000121879	5290	PIK3CA	3	178865902	178957881	1	protein_coding	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha [Source:HGNC Symbol;Acc:8975]
ENSG00000121892	23244	PDS5A	4	39824483	39979576	-1	protein_coding	PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:29088]
ENSG00000121895	80008	TMEM156	4	38968365	39034542	-1	protein_coding	transmembrane protein 156 [Source:HGNC Symbol;Acc:26260]
ENSG00000121897	11019	LIAS	4	39460620	39479273	1	protein_coding	lipoic acid synthetase [Source:HGNC Symbol;Acc:16429]
ENSG00000121898	119587	CPXM2	10	125465723	125699783	-1	protein_coding	carboxypeptidase X (M14 family), member 2 [Source:HGNC Symbol;Acc:26977]
ENSG00000121900	113452	TMEM54	1	33360195	33367039	-1	protein_coding	transmembrane protein 54 [Source:HGNC Symbol;Acc:24143]
ENSG00000121903	7579	ZSCAN20	1	33938246	33962107	1	protein_coding	zinc finger and SCAN domain containing 20 [Source:HGNC Symbol;Acc:13093]
ENSG00000121904	114784	CSMD2	1	33979609	34631443	-1	protein_coding	CUB and Sushi multiple domains 2 [Source:HGNC Symbol;Acc:19290]
ENSG00000121905	3208	HPCA	1	33351595	33364042	1	protein_coding	hippocalcin [Source:HGNC Symbol;Acc:5144]
ENSG00000121931	55791	LRIF1	1	111489807	111506701	-1	protein_coding	ligand dependent nuclear receptor interacting factor 1 [Source:HGNC Symbol;Acc:30299]
ENSG00000121933	140	ADORA3	1	112025970	112106584	-1	protein_coding	adenosine A3 receptor [Source:HGNC Symbol;Acc:268]
ENSG00000121940	23155	CLCC1	1	109472130	109506111	-1	protein_coding	chloride channel CLIC-like 1 [Source:HGNC Symbol;Acc:29675]
ENSG00000121957	29899	GPSM2	1	109417972	109477167	1	protein_coding	G-protein signaling modulator 2 [Source:HGNC Symbol;Acc:29501]
ENSG00000121964	79712	GTDC1	2	144695635	145090135	-1	protein_coding	glycosyltransferase-like domain containing 1 [Source:HGNC Symbol;Acc:20887]
ENSG00000121966	7852	CXCR4	2	136871919	136875735	-1	protein_coding	chemokine (C-X-C motif) receptor 4 [Source:HGNC Symbol;Acc:2561]
ENSG00000121988	84083	ZRANB3	2	135894486	136288806	-1	protein_coding	zinc finger, RAN-binding domain containing 3 [Source:HGNC Symbol;Acc:25249]
ENSG00000121989	92	ACVR2A	2	148602086	148688393	1	protein_coding	activin A receptor, type IIA [Source:HGNC Symbol;Acc:173]
ENSG00000122008	51426	POLK	5	74807581	74896969	1	protein_coding	polymerase (DNA directed) kappa [Source:HGNC Symbol;Acc:9183]
ENSG00000122012	22987	SV2C	5	75378997	75649764	1	protein_coding	synaptic vesicle glycoprotein 2C [Source:HGNC Symbol;Acc:30670]
ENSG00000122025	2322	FLT3	13	28577411	28674729	-1	protein_coding	fms-related tyrosine kinase 3 [Source:HGNC Symbol;Acc:3765]
ENSG00000122026	619499	RPL21	13	27825446	27830828	1	protein_coding	ribosomal protein L21 [Source:HGNC Symbol;Acc:10313]
ENSG00000122026	26771	RPL21	13	27825446	27830828	1	protein_coding	ribosomal protein L21 [Source:HGNC Symbol;Acc:10313]
ENSG00000122026	6144	RPL21	13	27825446	27830828	1	protein_coding	ribosomal protein L21 [Source:HGNC Symbol;Acc:10313]
ENSG00000122033	219402	MTIF3	13	28009776	28024739	-1	protein_coding	mitochondrial translational initiation factor 3 [Source:HGNC Symbol;Acc:29788]
ENSG00000122034	2971	GTF3A	13	27998681	28009958	1	protein_coding	general transcription factor IIIA [Source:HGNC Symbol;Acc:4662]
ENSG00000122035	387496	RASL11A	13	27844464	27847827	1	protein_coding	RAS-like, family 11, member A [Source:HGNC Symbol;Acc:23802]
ENSG00000122042	5412	UBL3	13	30338508	30424821	-1	protein_coding	ubiquitin-like 3 [Source:HGNC Symbol;Acc:12504]
ENSG00000122068	84248	FYTTD1	3	197464050	197514467	1	protein_coding	forty-two-three domain containing 1 [Source:HGNC Symbol;Acc:25407]
ENSG00000122085	130916	MTERFD2	2	242011584	242041747	-1	protein_coding	MTERF domain containing 2 [Source:HGNC Symbol;Acc:28785]
ENSG00000122121	7512	XPNPEP2	X	128872950	128903514	1	protein_coding	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound [Source:HGNC Symbol;Acc:12823]
ENSG00000122122	54440	SASH3	X	128913955	128929177	1	protein_coding	SAM and SH3 domain containing 3 [Source:HGNC Symbol;Acc:15975]
ENSG00000122126	4952	OCRL	X	128673826	128726538	1	protein_coding	oculocerebrorenal syndrome of Lowe [Source:HGNC Symbol;Acc:8108]
ENSG00000122133	5047	PAEP	9	138453602	138458801	1	protein_coding	progestagen-associated endometrial protein [Source:HGNC Symbol;Acc:8573]
ENSG00000122136	29991	OBP2A	9	138437985	138441815	1	protein_coding	odorant binding protein 2A [Source:HGNC Symbol;Acc:23380]
ENSG00000122140	51116	MRPS2	9	138391830	138396519	1	protein_coding	mitochondrial ribosomal protein S2 [Source:HGNC Symbol;Acc:14495]
ENSG00000122145	50945	TBX22	X	79270255	79287268	1	protein_coding	T-box 22 [Source:HGNC Symbol;Acc:11600]
ENSG00000122176	2331	FMOD	1	203309756	203320617	-1	protein_coding	fibromodulin [Source:HGNC Symbol;Acc:3774]
ENSG00000122180	4656	MYOG	1	203052260	203055164	-1	protein_coding	myogenin (myogenic factor 4) [Source:HGNC Symbol;Acc:7612]
ENSG00000122188	54900	LAX1	1	203734304	203745361	1	protein_coding	lymphocyte transmembrane adaptor 1 [Source:HGNC Symbol;Acc:26005]
ENSG00000122194	5340	PLG	6	161123270	161174347	1	protein_coding	plasminogen [Source:HGNC Symbol;Acc:9071]
ENSG00000122203	57179	KIAA1191	5	175773064	175788971	-1	protein_coding	KIAA1191 [Source:HGNC Symbol;Acc:29209]
ENSG00000122218	1314	COPA	1	160259063	160313190	-1	protein_coding	coatomer protein complex, subunit alpha [Source:HGNC Symbol;Acc:2230]
ENSG00000122223	51744	CD244	1	160799950	160832692	-1	protein_coding	CD244 molecule, natural killer cell receptor 2B4 [Source:HGNC Symbol;Acc:18171]
ENSG00000122224	4063	LY9	1	160765864	160798051	1	protein_coding	lymphocyte antigen 9 [Source:HGNC Symbol;Acc:6730]
ENSG00000122254	9956	HS3ST2	16	22825498	22927659	1	protein_coding	heparan sulfate (glucosamine) 3-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:5195]
ENSG00000122257	5930	RBBP6	16	24549014	24584184	1	protein_coding	retinoblastoma binding protein 6 [Source:HGNC Symbol;Acc:9889]
ENSG00000122299	29066	ZC3H7A	16	11844442	11891123	-1	protein_coding	zinc finger CCCH-type containing 7A [Source:HGNC Symbol;Acc:30959]
ENSG00000122304	5620	PRM2	16	11369496	11370337	-1	protein_coding	protamine 2 [Source:HGNC Symbol;Acc:9448]
ENSG00000122335	84947	SERAC1	6	158530536	158589312	-1	protein_coding	serine active site containing 1 [Source:HGNC Symbol;Acc:21061]
ENSG00000122359	311	ANXA11	10	81910645	81965328	-1	protein_coding	annexin A11 [Source:HGNC Symbol;Acc:535]
ENSG00000122367	11155	LDB3	10	88428206	88495825	1	protein_coding	LIM domain binding 3 [Source:HGNC Symbol;Acc:15710]
ENSG00000122375	94233	OPN4	10	88414314	88426605	1	protein_coding	opsin 4 [Source:HGNC Symbol;Acc:14449]
ENSG00000122376	54537	FAM35A	10	88853918	88951225	1	protein_coding	family with sequence similarity 35, member A [Source:HGNC Symbol;Acc:28773]
ENSG00000122378	84293	FAM213A	10	82167585	82192753	1	protein_coding	family with sequence similarity 213, member A [Source:HGNC Symbol;Acc:28651]
ENSG00000122386	7755	ZNF205	16	3162561	3170518	1	protein_coding	zinc finger protein 205 [Source:HGNC Symbol;Acc:12996]
ENSG00000122390	79903	NAA60	16	3493611	3536963	1	protein_coding	N(alpha)-acetyltransferase 60, NatF catalytic subunit [Source:HGNC Symbol;Acc:25875]
ENSG00000122406	6125	RPL5	1	93297582	93307481	1	protein_coding	ribosomal protein L5 [Source:HGNC Symbol;Acc:10360]
ENSG00000122406	6083	RPL5	1	93297582	93307481	1	protein_coding	ribosomal protein L5 [Source:HGNC Symbol;Acc:10360]
ENSG00000122417	57489	ODF2L	1	86814344	86862023	-1	protein_coding	outer dense fiber of sperm tails 2-like [Source:HGNC Symbol;Acc:29225]
ENSG00000122420	5737	PTGFR	1	78769568	79005434	1	protein_coding	prostaglandin F receptor (FP) [Source:HGNC Symbol;Acc:9600]
ENSG00000122435	54482	TRMT13	1	100598706	100616053	1	protein_coding	tRNA methyltransferase 13 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25502]
ENSG00000122477	127495	LRRC39	1	100614409	100643771	-1	protein_coding	leucine rich repeat containing 39 [Source:HGNC Symbol;Acc:28228]
ENSG00000122481	25950	RWDD3	1	95699711	95712781	1	protein_coding	RWD domain containing 3 [Source:HGNC Symbol;Acc:21393]
ENSG00000122482	84146	ZNF644	1	91380859	91487829	-1	protein_coding	zinc finger protein 644 [Source:HGNC Symbol;Acc:29222]
ENSG00000122483	343099	CCDC18	1	93645476	93744287	1	protein_coding	coiled-coil domain containing 18 [Source:HGNC Symbol;Acc:30370]
ENSG00000122484	79871	RPAP2	1	92764522	92867613	1	protein_coding	RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:25791]
ENSG00000122490	80148	PQLC1	18	77662420	77711664	-1	protein_coding	PQ loop repeat containing 1 [Source:HGNC Symbol;Acc:26188]
ENSG00000122497	25832	NBPF14	1	148003642	148025863	-1	protein_coding	neuroblastoma breakpoint family, member 14 [Source:HGNC Symbol;Acc:25232]
ENSG00000122507	27241	BBS9	7	33168856	33645680	1	protein_coding	Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:30000]
ENSG00000122512	5395	PMS2	7	6012870	6048756	-1	protein_coding	PMS2 postmeiotic segregation increased 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:9122]
ENSG00000122515	83637	ZMIZ2	7	44788180	44809477	1	protein_coding	zinc finger, MIZ-type containing 2 [Source:HGNC Symbol;Acc:22229]
ENSG00000122543	654231	OCM	7	5919458	5925993	1	protein_coding	oncomodulin [Source:HGNC Symbol;Acc:8105]
ENSG00000122545	989	SEPT7	7	35840542	35944917	1	protein_coding	septin 7 [Source:HGNC Symbol;Acc:1717]
ENSG00000122547	80820	EEPD1	7	36192758	36341152	1	protein_coding	endonuclease/exonuclease/phosphatase family domain containing 1 [Source:HGNC Symbol;Acc:22223]
ENSG00000122548	NA	KIAA0087	7	26572740	26578407	-1	protein_coding	KIAA0087 [Source:HGNC Symbol;Acc:22191]
ENSG00000122550	55975	KLHL7	7	23145353	23217533	1	protein_coding	kelch-like family member 7 [Source:HGNC Symbol;Acc:15646]
ENSG00000122557	64224	HERPUD2	7	35672269	35735181	-1	protein_coding	HERPUD family member 2 [Source:HGNC Symbol;Acc:21915]
ENSG00000122565	11335	CBX3	7	26240782	26252976	1	protein_coding	chromobox homolog 3 [Source:HGNC Symbol;Acc:1553]
ENSG00000122566	3181	HNRNPA2B1	7	26229547	26241149	-1	protein_coding	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:5033]
ENSG00000122574	644150	WIPF3	7	29846102	29956682	1	protein_coding	WAS/WASL interacting protein family, member 3 [Source:HGNC Symbol;Acc:22004]
ENSG00000122584	30010	NXPH1	7	8473585	8792593	1	protein_coding	neurexophilin 1 [Source:HGNC Symbol;Acc:20693]
ENSG00000122585	4852	NPY	7	24323782	24331484	1	protein_coding	neuropeptide Y [Source:HGNC Symbol;Acc:7955]
ENSG00000122591	84668	FAM126A	7	22980878	23053749	-1	protein_coding	family with sequence similarity 126, member A [Source:HGNC Symbol;Acc:24587]
ENSG00000122592	3204	HOXA7	7	27193335	27197555	-1	protein_coding	homeobox A7 [Source:HGNC Symbol;Acc:5108]
ENSG00000122641	3624	INHBA	7	41724712	41742706	-1	protein_coding	inhibin, beta A [Source:HGNC Symbol;Acc:6066]
ENSG00000122642	11328	FKBP9	7	32997017	33046543	1	protein_coding	FK506 binding protein 9, 63 kDa [Source:HGNC Symbol;Acc:3725]
ENSG00000122643	51251	NT5C3A	7	33053742	33102409	-1	protein_coding	5'-nucleotidase, cytosolic IIIA [Source:HGNC Symbol;Acc:17820]
ENSG00000122644	10124	ARL4A	7	12726481	12730559	1	protein_coding	ADP-ribosylation factor-like 4A [Source:HGNC Symbol;Acc:695]
ENSG00000122674	221960	CCZ1	7	5938356	5965605	1	protein_coding	CCZ1 vacuolar protein trafficking and biogenesis associated homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:21691]
ENSG00000122674	51622	CCZ1	7	5938356	5965605	1	protein_coding	CCZ1 vacuolar protein trafficking and biogenesis associated homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:21691]
ENSG00000122678	27434	POLM	7	44111846	44122139	-1	protein_coding	polymerase (DNA directed), mu [Source:HGNC Symbol;Acc:9185]
ENSG00000122679	10268	RAMP3	7	45197390	45225901	1	protein_coding	receptor (G protein-coupled) activity modifying protein 3 [Source:HGNC Symbol;Acc:9845]
ENSG00000122687	29960	FTSJ2	7	2273866	2281840	-1	protein_coding	FtsJ RNA methyltransferase homolog 2 (E. coli) [Source:HGNC Symbol;Acc:16352]
ENSG00000122691	7291	TWIST1	7	19060614	19157295	-1	protein_coding	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:12428]
ENSG00000122692	55234	SMU1	9	33041762	33076665	-1	protein_coding	smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans) [Source:HGNC Symbol;Acc:18247]
ENSG00000122694	152007	GLIPR2	9	36136732	36163910	1	protein_coding	GLI pathogenesis-related 2 [Source:HGNC Symbol;Acc:18007]
ENSG00000122696	92014	SLC25A51	9	37879400	37904350	-1	protein_coding	solute carrier family 25, member 51 [Source:HGNC Symbol;Acc:23323]
ENSG00000122705	1211	CLTA	9	36190853	36304778	1	protein_coding	clathrin, light chain A [Source:HGNC Symbol;Acc:2090]
ENSG00000122707	8434	RECK	9	36036430	36124448	1	protein_coding	reversion-inducing-cysteine-rich protein with kazal motifs [Source:HGNC Symbol;Acc:11345]
ENSG00000122711	27290	SPINK4	9	33218363	33248565	1	protein_coding	serine peptidase inhibitor, Kazal type 4 [Source:HGNC Symbol;Acc:16646]
ENSG00000122718	56656	OR2S2	9	35957105	35958151	-1	protein_coding	olfactory receptor, family 2, subfamily S, member 2 [Source:HGNC Symbol;Acc:8276]
ENSG00000122728	138474	TAF1L	9	32629452	32635667	-1	protein_coding	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like [Source:HGNC Symbol;Acc:18056]
ENSG00000122729	48	ACO1	9	32384618	32454767	1	protein_coding	aconitase 1, soluble [Source:HGNC Symbol;Acc:117]
ENSG00000122733	23349	KIAA1045	9	34957484	34982541	1	protein_coding	KIAA1045 [Source:HGNC Symbol;Acc:29180]
ENSG00000122735	27019	DNAI1	9	34457412	34520982	1	protein_coding	dynein, axonemal, intermediate chain 1 [Source:HGNC Symbol;Acc:2954]
ENSG00000122741	79269	DCAF10	9	37800499	37867663	1	protein_coding	DDB1 and CUL4 associated factor 10 [Source:HGNC Symbol;Acc:23686]
ENSG00000122756	1271	CNTFR	9	34551430	34590121	-1	protein_coding	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:2170]
ENSG00000122778	57670	KIAA1549	7	138516126	138666064	-1	protein_coding	KIAA1549 [Source:HGNC Symbol;Acc:22219]
ENSG00000122779	8805	TRIM24	7	138145079	138274738	1	protein_coding	tripartite motif containing 24 [Source:HGNC Symbol;Acc:11812]
ENSG00000122783	78996	C7orf49	7	134777115	134855547	-1	protein_coding	chromosome 7 open reading frame 49 [Source:HGNC Symbol;Acc:22432]
ENSG00000122786	800	CALD1	7	134429003	134655479	1	protein_coding	caldesmon 1 [Source:HGNC Symbol;Acc:1441]
ENSG00000122787	6718	AKR1D1	7	137687070	137802732	1	protein_coding	aldo-keto reductase family 1, member D1 [Source:HGNC Symbol;Acc:388]
ENSG00000122824	170685	NUDT10	X	51075083	51080377	1	protein_coding	nudix (nucleoside diphosphate linked moiety X)-type motif 10 [Source:HGNC Symbol;Acc:17621]
ENSG00000122852	729238	SFTPA1	10	81370695	81375196	1	protein_coding	surfactant protein A1 [Source:HGNC Symbol;Acc:10798]
ENSG00000122852	653509	SFTPA1	10	81370695	81375196	1	protein_coding	surfactant protein A1 [Source:HGNC Symbol;Acc:10798]
ENSG00000122859	50674	NEUROG3	10	71331454	71332994	-1	protein_coding	neurogenin 3 [Source:HGNC Symbol;Acc:13806]
ENSG00000122861	5328	PLAU	10	75668935	75677255	1	protein_coding	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:9052]
ENSG00000122862	5552	SRGN	10	70847862	70864567	1	protein_coding	serglycin [Source:HGNC Symbol;Acc:9361]
ENSG00000122863	9469	CHST3	10	73724123	73773322	1	protein_coding	carbohydrate (chondroitin 6) sulfotransferase 3 [Source:HGNC Symbol;Acc:1971]
ENSG00000122870	80114	BICC1	10	60272900	60591195	1	protein_coding	bicaudal C homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19351]
ENSG00000122873	55847	CISD1	10	60028818	60049346	1	protein_coding	CDGSH iron sulfur domain 1 [Source:HGNC Symbol;Acc:30880]
ENSG00000122877	1959	EGR2	10	64571756	64679660	-1	protein_coding	early growth response 2 [Source:HGNC Symbol;Acc:3239]
ENSG00000122882	11319	ECD	10	74889913	74928813	-1	protein_coding	ecdysoneless homolog (Drosophila) [Source:HGNC Symbol;Acc:17029]
ENSG00000122884	5033	P4HA1	10	74766975	74856732	-1	protein_coding	prolyl 4-hydroxylase, alpha polypeptide I [Source:HGNC Symbol;Acc:8546]
ENSG00000122912	8034	SLC25A16	10	70237756	70287231	-1	protein_coding	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16 [Source:HGNC Symbol;Acc:10986]
ENSG00000122952	11130	ZWINT	10	58116989	58121036	-1	protein_coding	ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:13195]
ENSG00000122958	9559	VPS26A	10	70883268	70932617	1	protein_coding	vacuolar protein sorting 26 homolog A (S. pombe) [Source:HGNC Symbol;Acc:12711]
ENSG00000122965	9904	RBM19	12	114254543	114404176	-1	protein_coding	RNA binding motif protein 19 [Source:HGNC Symbol;Acc:29098]
ENSG00000122966	100302274	CIT	12	120123595	120315095	-1	protein_coding	citron (rho-interacting, serine/threonine kinase 21) [Source:HGNC Symbol;Acc:1985]
ENSG00000122966	11113	CIT	12	120123595	120315095	-1	protein_coding	citron (rho-interacting, serine/threonine kinase 21) [Source:HGNC Symbol;Acc:1985]
ENSG00000122970	28981	IFT81	12	110562140	110656602	1	protein_coding	intraflagellar transport 81 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:14313]
ENSG00000122971	35	ACADS	12	121163538	121177811	1	protein_coding	acyl-CoA dehydrogenase, C-2 to C-3 short chain [Source:HGNC Symbol;Acc:90]
ENSG00000122986	84329	HVCN1	12	111065646	111142755	-1	protein_coding	hydrogen voltage-gated channel 1 [Source:HGNC Symbol;Acc:28240]
ENSG00000123064	79039	DDX54	12	113594979	113623284	-1	protein_coding	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54 [Source:HGNC Symbol;Acc:20084]
ENSG00000123066	23389	MED13L	12	116395711	116715143	-1	protein_coding	mediator complex subunit 13-like [Source:HGNC Symbol;Acc:22962]
ENSG00000123080	1031	CDKN2C	1	51426417	51440305	1	protein_coding	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4) [Source:HGNC Symbol;Acc:1789]
ENSG00000123091	26994	RNF11	1	51701943	51739127	1	protein_coding	ring finger protein 11 [Source:HGNC Symbol;Acc:10056]
ENSG00000123094	11228	RASSF8	12	26111962	26232825	1	protein_coding	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8 [Source:HGNC Symbol;Acc:13232]
ENSG00000123095	79365	BHLHE41	12	26272959	26278060	-1	protein_coding	basic helix-loop-helix family, member e41 [Source:HGNC Symbol;Acc:16617]
ENSG00000123096	8082	SSPN	12	26274924	26452223	1	protein_coding	sarcospan [Source:HGNC Symbol;Acc:11322]
ENSG00000123104	3709	ITPR2	12	26490342	26986131	-1	protein_coding	inositol 1,4,5-trisphosphate receptor, type 2 [Source:HGNC Symbol;Acc:6181]
ENSG00000123106	55297	CCDC91	12	28286182	28732883	1	protein_coding	coiled-coil domain containing 91 [Source:HGNC Symbol;Acc:24855]
ENSG00000123119	64168	NECAB1	8	91803778	91971636	1	protein_coding	N-terminal EF-hand calcium binding protein 1 [Source:HGNC Symbol;Acc:20983]
ENSG00000123124	11059	WWP1	8	87354967	87490649	1	protein_coding	WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:17004]
ENSG00000123130	23597	ACOT9	X	23720370	23784592	-1	protein_coding	acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:17152]
ENSG00000123131	10549	PRDX4	X	23682379	23704516	1	protein_coding	peroxiredoxin 4 [Source:HGNC Symbol;Acc:17169]
ENSG00000123136	10212	DDX39A	19	14519631	14530192	-1	protein_coding	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A [Source:HGNC Symbol;Acc:17821]
ENSG00000123143	5585	PKN1	19	14543865	14582679	1	protein_coding	protein kinase N1 [Source:HGNC Symbol;Acc:9405]
ENSG00000123144	79002	C19orf43	19	12841454	12845589	-1	protein_coding	chromosome 19 open reading frame 43 [Source:HGNC Symbol;Acc:28424]
ENSG00000123146	976	CD97	19	14491313	14519537	1	protein_coding	CD97 molecule [Source:HGNC Symbol;Acc:1711]
ENSG00000123154	84292	WDR83	19	12777614	12786646	1	protein_coding	WD repeat domain 83 [Source:HGNC Symbol;Acc:32672]
ENSG00000123159	10755	GIPC1	19	14588572	14606944	-1	protein_coding	GIPC PDZ domain containing family, member 1 [Source:HGNC Symbol;Acc:1226]
ENSG00000123165	139741	ACTRT1	X	127184943	127186382	-1	protein_coding	actin-related protein T1 [Source:HGNC Symbol;Acc:24027]
ENSG00000123171	83446	CCDC70	13	52436117	52440366	1	protein_coding	coiled-coil domain containing 70 [Source:HGNC Symbol;Acc:25303]
ENSG00000123178	57213	SPRYD7	13	50486842	50510626	-1	protein_coding	SPRY domain containing 7 [Source:HGNC Symbol;Acc:14297]
ENSG00000123179	84650	EBPL	13	50234859	50265611	-1	protein_coding	emopamil binding protein-like [Source:HGNC Symbol;Acc:18061]
ENSG00000123191	540	ATP7B	13	52506809	52585630	-1	protein_coding	ATPase, Cu++ transporting, beta polypeptide [Source:HGNC Symbol;Acc:870]
ENSG00000123200	23091	ZC3H13	13	46528600	46626894	-1	protein_coding	zinc finger CCCH-type containing 13 [Source:HGNC Symbol;Acc:20368]
ENSG00000123213	57486	NLN	5	65018023	65167553	1	protein_coding	neurolysin (metallopeptidase M3 family) [Source:HGNC Symbol;Acc:16058]
ENSG00000123219	64105	CENPK	5	64813593	64858998	-1	protein_coding	centromere protein K [Source:HGNC Symbol;Acc:29479]
ENSG00000123240	10133	OPTN	10	13141449	13180291	1	protein_coding	optineurin [Source:HGNC Symbol;Acc:17142]
ENSG00000123243	80760	ITIH5	10	7601232	7708961	-1	protein_coding	inter-alpha-trypsin inhibitor heavy chain family, member 5 [Source:HGNC Symbol;Acc:21449]
ENSG00000123268	466	ATF1	12	51157493	51214905	1	protein_coding	activating transcription factor 1 [Source:HGNC Symbol;Acc:783]
ENSG00000123297	10102	TSFM	12	58176372	58201854	1	protein_coding	Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:12367]
ENSG00000123307	58158	NEUROD4	12	55413729	55423798	1	protein_coding	neuronal differentiation 4 [Source:HGNC Symbol;Acc:13802]
ENSG00000123329	64333	ARHGAP9	12	57866038	57882597	-1	protein_coding	Rho GTPase activating protein 9 [Source:HGNC Symbol;Acc:14130]
ENSG00000123338	3071	NCKAP1L	12	54891495	54937726	1	protein_coding	NCK-associated protein 1-like [Source:HGNC Symbol;Acc:4862]
ENSG00000123342	4327	MMP19	12	56229217	56236750	-1	protein_coding	matrix metallopeptidase 19 [Source:HGNC Symbol;Acc:7165]
ENSG00000123349	5204	PFDN5	12	53689075	53693234	1	protein_coding	prefoldin subunit 5 [Source:HGNC Symbol;Acc:8869]
ENSG00000123352	65244	SPATS2	12	49760367	49921205	1	protein_coding	spermatogenesis associated, serine-rich 2 [Source:HGNC Symbol;Acc:18650]
ENSG00000123353	29095	ORMDL2	12	56211703	56215663	1	protein_coding	ORM1-like 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:16037]
ENSG00000123358	3164	NR4A1	12	52416616	52453291	1	protein_coding	nuclear receptor subfamily 4, group A, member 1 [Source:HGNC Symbol;Acc:7980]
ENSG00000123360	5153	PDE1B	12	54943134	54973023	1	protein_coding	phosphodiesterase 1B, calmodulin-dependent [Source:HGNC Symbol;Acc:8775]
ENSG00000123364	3229	HOXC13	12	54332535	54340328	1	protein_coding	homeobox C13 [Source:HGNC Symbol;Acc:5125]
ENSG00000123374	1017	CDK2	12	56360553	56366568	1	protein_coding	cyclin-dependent kinase 2 [Source:HGNC Symbol;Acc:1771]
ENSG00000123384	4035	LRP1	12	57522276	57607134	1	protein_coding	low density lipoprotein receptor-related protein 1 [Source:HGNC Symbol;Acc:6692]
ENSG00000123388	3227	HOXC11	12	54366910	54371427	1	protein_coding	homeobox C11 [Source:HGNC Symbol;Acc:5123]
ENSG00000123395	60673	C12orf44	12	52463030	52471278	1	protein_coding	chromosome 12 open reading frame 44 [Source:HGNC Symbol;Acc:25679]
ENSG00000123405	4778	NFE2	12	54685895	54694905	-1	protein_coding	nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:7780]
ENSG00000123407	3228	HOXC12	12	54348618	54352740	1	protein_coding	homeobox C12 [Source:HGNC Symbol;Acc:5124]
ENSG00000123411	64375	IKZF4	12	56401443	56432219	1	protein_coding	IKAROS family zinc finger 4 (Eos) [Source:HGNC Symbol;Acc:13179]
ENSG00000123415	23583	SMUG1	12	54558529	54582778	-1	protein_coding	single-strand-selective monofunctional uracil-DNA glycosylase 1 [Source:HGNC Symbol;Acc:17148]
ENSG00000123416	10376	TUBA1B	12	49521565	49525180	-1	protein_coding	tubulin, alpha 1b [Source:HGNC Symbol;Acc:18809]
ENSG00000123427	25895	METTL21B	12	58165275	58176324	1	protein_coding	methyltransferase like 21B [Source:HGNC Symbol;Acc:24936]
ENSG00000123444	55709	KBTBD4	11	47593749	47600567	-1	protein_coding	kelch repeat and BTB (POZ) domain containing 4 [Source:HGNC Symbol;Acc:23761]
